correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
insp-aero(<-50),-0.05,-0.50,-0.76,-0.33,-0.51,-0.42,0.09,-0.36,0.26,-0.20,0.78,0.61,0.44,0.56,0.17,0.03,0.78,-0.23,0.44,0.47,0.06
exp-aero(<-50),-0.27,-0.66,-0.79,-0.46,-0.61,-0.54,-0.08,-0.52,0.11,-0.34,0.70,0.71,0.58,0.59,0.34,0.03,0.75,-0.19,0.35,0.40,-0.02
severe(<-910),-0.28,-0.77,-0.89,-0.69,-0.70,-0.62,-0.09,-0.67,-0.09,-0.56,0.65,0.70,0.57,0.48,0.42,-0.36,0.88,-0.54,0.11,0.47,0.16
nonsevere(aero-severe),0.41,0.48,0.25,0.66,0.35,0.37,0.33,0.55,0.55,0.51,0.26,-0.08,-0.17,0.17,-0.36,0.65,0.61,0.51,0.53,0.03,-0.15
dyn-25,-0.49,-0.70,-0.68,-0.55,-0.59,-0.58,-0.33,-0.60,-0.04,-0.44,0.58,0.75,0.67,0.55,0.45,-0.02,0.40,-0.14,0.11,0.33,-0.06
dyn-50,-0.37,-0.58,-0.54,-0.39,-0.61,-0.63,-0.37,-0.47,0.09,-0.26,0.57,0.65,0.56,0.56,0.34,0.23,0.39,0.13,0.24,0.34,-0.05
dyn-75,-0.15,-0.31,-0.32,-0.07,-0.47,-0.49,-0.29,-0.16,0.21,-0.02,0.46,0.48,0.40,0.52,0.19,0.55,0.39,0.48,0.38,0.25,-0.14
dyn-100,0.08,0.03,-0.04,0.26,-0.18,-0.20,-0.11,0.19,0.31,0.18,0.35,0.27,0.19,0.39,0.01,0.75,0.39,0.70,0.48,0.16,-0.20
dyn-125,0.24,0.27,0.16,0.48,0.08,0.06,0.04,0.42,0.38,0.33,0.27,0.08,0.01,0.26,-0.15,0.81,0.38,0.77,0.51,0.09,-0.22
dyn-150,0.35,0.43,0.28,0.61,0.24,0.23,0.15,0.55,0.44,0.43,0.21,-0.05,-0.12,0.17,-0.26,0.81,0.37,0.76,0.50,0.04,-0.21
