correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
insp-aero(<-50),0.82,0.78,-0.31,0.41,0.07,0.16,0.30,0.47,0.80,0.60,0.28,0.59,0.38,0.74,-0.56,0.77,1.00,0.61,0.80,-0.27,-0.16
exp-aero(<-50),0.76,0.76,-0.21,0.35,0.16,0.30,0.28,0.54,0.76,0.57,0.27,0.58,0.40,0.69,-0.43,0.75,1.00,0.52,0.87,-0.29,-0.22
severe(<-910),0.53,0.40,-0.42,0.41,-0.15,-0.11,0.01,0.35,0.51,0.30,0.32,0.50,0.23,0.47,-0.33,0.30,1.00,0.19,0.43,-0.13,-0.17
nonsevere(aero-severe),0.76,0.77,-0.19,0.32,0.15,0.24,0.36,0.42,0.75,0.60,0.20,0.50,0.36,0.68,-0.54,0.80,1.00,0.66,0.78,-0.28,-0.12
dyn-25,-0.04,-0.02,-0.00,0.11,0.01,0.02,-0.26,0.18,-0.03,-0.10,0.02,0.01,-0.07,-0.05,-0.02,-0.11,1.00,-0.25,0.12,-0.22,0.33
dyn-50,0.23,0.32,0.13,0.27,0.38,0.42,0.06,0.44,0.24,0.13,0.18,0.04,-0.03,0.08,-0.17,0.06,1.00,-0.08,0.28,-0.23,0.04
dyn-75,0.36,0.45,0.16,0.19,0.43,0.54,0.26,0.47,0.37,0.29,0.19,0.18,0.17,0.25,-0.11,0.30,1.00,0.15,0.44,-0.12,-0.35
dyn-100,0.46,0.54,0.10,0.13,0.35,0.51,0.33,0.41,0.46,0.40,0.15,0.31,0.31,0.40,-0.12,0.57,1.00,0.44,0.61,-0.06,-0.47
dyn-125,0.54,0.59,0.02,0.12,0.28,0.45,0.36,0.36,0.54,0.47,0.16,0.39,0.37,0.49,-0.18,0.70,1.00,0.58,0.68,-0.05,-0.48
dyn-150,0.60,0.64,-0.05,0.14,0.23,0.40,0.38,0.35,0.61,0.52,0.18,0.44,0.39,0.56,-0.25,0.77,1.00,0.64,0.72,-0.05,-0.47
dyn-175,0.65,0.68,-0.10,0.15,0.20,0.35,0.38,0.34,0.66,0.55,0.19,0.47,0.41,0.61,-0.30,0.80,1.00,0.67,0.74,-0.06,-0.45
dyn-200,0.69,0.70,-0.14,0.16,0.18,0.32,0.37,0.34,0.69,0.58,0.19,0.49,0.41,0.64,-0.34,0.81,1.00,0.68,0.75,-0.08,-0.42
dyn-225,0.71,0.72,-0.17,0.18,0.17,0.29,0.37,0.34,0.71,0.60,0.20,0.50,0.41,0.66,-0.37,0.81,1.00,0.69,0.74,-0.09,-0.39
dyn-250,0.73,0.73,-0.18,0.20,0.16,0.28,0.38,0.35,0.72,0.61,0.20,0.50,0.41,0.67,-0.40,0.80,1.00,0.69,0.74,-0.11,-0.36
dyn-275,0.74,0.74,-0.19,0.22,0.16,0.27,0.38,0.35,0.73,0.61,0.20,0.50,0.40,0.67,-0.43,0.80,1.00,0.69,0.73,-0.13,-0.33
dyn-300,0.74,0.74,-0.19,0.23,0.16,0.26,0.39,0.36,0.73,0.61,0.20,0.49,0.39,0.67,-0.45,0.79,1.00,0.68,0.73,-0.15,-0.31
severe+dyn-25,0.50,0.38,-0.41,0.44,-0.14,-0.10,-0.09,0.41,0.49,0.25,0.31,0.49,0.20,0.44,-0.33,0.25,1.00,0.08,0.47,-0.21,-0.04
severe+dyn-50,0.59,0.54,-0.26,0.52,0.13,0.18,0.05,0.57,0.58,0.33,0.38,0.44,0.18,0.45,-0.39,0.29,1.00,0.10,0.55,-0.23,-0.14
severe+dyn-75,0.64,0.64,-0.14,0.43,0.26,0.38,0.22,0.62,0.64,0.43,0.36,0.48,0.29,0.51,-0.31,0.45,1.00,0.25,0.66,-0.19,-0.39
severe+dyn-100,0.68,0.68,-0.13,0.32,0.23,0.39,0.30,0.53,0.67,0.51,0.30,0.53,0.39,0.59,-0.28,0.66,1.00,0.48,0.76,-0.13,-0.48
severe+dyn-125,0.70,0.69,-0.17,0.29,0.17,0.34,0.32,0.47,0.70,0.54,0.28,0.56,0.42,0.64,-0.30,0.75,1.00,0.59,0.79,-0.10,-0.48
severe+dyn-150,0.73,0.71,-0.21,0.28,0.14,0.29,0.33,0.44,0.73,0.56,0.28,0.58,0.43,0.67,-0.35,0.78,1.00,0.63,0.80,-0.10,-0.46
severe+dyn-175,0.76,0.73,-0.25,0.29,0.11,0.26,0.33,0.42,0.75,0.58,0.28,0.60,0.43,0.70,-0.38,0.80,1.00,0.65,0.80,-0.11,-0.44
severe+dyn-200,0.78,0.74,-0.28,0.29,0.10,0.23,0.32,0.41,0.77,0.60,0.28,0.60,0.44,0.72,-0.41,0.80,1.00,0.65,0.80,-0.12,-0.41
severe+dyn-225,0.79,0.75,-0.30,0.30,0.08,0.20,0.32,0.41,0.78,0.61,0.28,0.60,0.43,0.73,-0.43,0.79,1.00,0.65,0.79,-0.13,-0.39
severe+dyn-250,0.80,0.75,-0.30,0.31,0.08,0.19,0.32,0.41,0.79,0.61,0.28,0.60,0.43,0.73,-0.45,0.78,1.00,0.64,0.78,-0.14,-0.36
severe+dyn-275,0.80,0.76,-0.30,0.33,0.08,0.18,0.32,0.42,0.79,0.61,0.28,0.59,0.42,0.73,-0.47,0.78,1.00,0.64,0.77,-0.16,-0.34
severe+dyn-300,0.80,0.76,-0.30,0.34,0.08,0.18,0.33,0.42,0.79,0.61,0.28,0.59,0.41,0.73,-0.49,0.77,1.00,0.64,0.76,-0.17,-0.31
