correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
insp-aero(<-50),-0.05,-0.50,-0.76,-0.33,-0.51,-0.42,0.09,-0.36,0.23,-0.01,0.55,0.40,0.35,0.30,0.19,0.18,0.68,0.09,0.30,0.43,0.11
exp-aero(<-50),-0.27,-0.66,-0.79,-0.46,-0.61,-0.54,-0.08,-0.52,0.10,-0.15,0.44,0.39,0.36,0.24,0.21,0.09,0.64,0.01,0.17,0.34,0.01
severe(<-910),-0.28,-0.77,-0.89,-0.69,-0.70,-0.62,-0.09,-0.67,0.06,-0.21,0.43,0.41,0.38,0.25,0.28,-0.13,0.71,-0.15,0.10,0.39,0.17
nonsevere(aero-severe),0.41,0.48,0.25,0.66,0.35,0.37,0.33,0.55,0.30,0.35,0.19,-0.02,-0.08,0.09,-0.16,0.54,-0.06,0.42,0.36,0.04,-0.11
dyn-25,-0.49,-0.70,-0.68,-0.55,-0.59,-0.58,-0.33,-0.60,-0.03,-0.28,0.35,0.37,0.38,0.18,0.22,0.02,0.58,-0.03,0.07,0.30,-0.04
dyn-50,-0.37,-0.58,-0.54,-0.39,-0.61,-0.63,-0.37,-0.47,0.06,-0.15,0.36,0.35,0.34,0.21,0.19,0.19,0.43,0.13,0.14,0.31,-0.05
dyn-75,-0.15,-0.31,-0.32,-0.07,-0.47,-0.49,-0.29,-0.16,0.13,0.01,0.31,0.28,0.27,0.21,0.13,0.41,0.23,0.33,0.23,0.22,-0.14
dyn-100,0.08,0.03,-0.04,0.26,-0.18,-0.20,-0.11,0.19,0.22,0.17,0.28,0.20,0.17,0.21,0.07,0.57,0.05,0.48,0.33,0.14,-0.18
dyn-125,0.24,0.27,0.16,0.48,0.08,0.06,0.04,0.42,0.28,0.28,0.25,0.14,0.09,0.19,0.02,0.64,-0.07,0.55,0.38,0.09,-0.18
dyn-150,0.35,0.43,0.28,0.61,0.24,0.23,0.15,0.55,0.32,0.36,0.22,0.08,0.03,0.18,-0.03,0.65,-0.13,0.56,0.40,0.06,-0.16
dyn-175,0.41,0.52,0.35,0.68,0.33,0.33,0.21,0.62,0.34,0.40,0.21,0.05,-0.01,0.16,-0.06,0.64,-0.16,0.56,0.41,0.04,-0.13
dyn-200,0.45,0.57,0.39,0.72,0.39,0.39,0.26,0.66,0.35,0.42,0.19,0.02,-0.04,0.15,-0.08,0.63,-0.18,0.55,0.41,0.03,-0.11
dyn-225,0.48,0.61,0.42,0.74,0.42,0.43,0.28,0.68,0.35,0.43,0.18,0.00,-0.06,0.14,-0.10,0.62,-0.20,0.54,0.40,0.02,-0.10
dyn-250,0.49,0.63,0.44,0.76,0.45,0.46,0.30,0.70,0.35,0.44,0.17,-0.01,-0.07,0.13,-0.11,0.60,-0.21,0.53,0.40,0.02,-0.09
dyn-275,0.51,0.65,0.45,0.77,0.47,0.48,0.31,0.71,0.35,0.45,0.17,-0.02,-0.08,0.12,-0.12,0.59,-0.21,0.52,0.39,0.02,-0.08
dyn-300,0.52,0.66,0.46,0.78,0.48,0.49,0.32,0.71,0.35,0.45,0.16,-0.03,-0.09,0.12,-0.12,0.59,-0.22,0.51,0.39,0.01,-0.07
severe+dyn-25,-0.37,-0.81,-0.89,-0.70,-0.72,-0.66,-0.18,-0.70,0.04,-0.25,0.44,0.43,0.41,0.24,0.29,-0.09,0.72,-0.12,0.09,0.39,0.11
severe+dyn-50,-0.37,-0.81,-0.88,-0.67,-0.77,-0.72,-0.23,-0.69,0.07,-0.22,0.47,0.45,0.43,0.27,0.29,-0.01,0.70,-0.05,0.13,0.42,0.10
severe+dyn-75,-0.30,-0.77,-0.87,-0.59,-0.78,-0.74,-0.21,-0.62,0.11,-0.16,0.49,0.46,0.43,0.30,0.29,0.09,0.68,0.04,0.19,0.42,0.07
severe+dyn-100,-0.22,-0.70,-0.84,-0.51,-0.73,-0.68,-0.14,-0.53,0.17,-0.11,0.54,0.48,0.44,0.33,0.30,0.17,0.68,0.11,0.25,0.44,0.06
severe+dyn-125,-0.16,-0.64,-0.82,-0.44,-0.67,-0.60,-0.07,-0.46,0.22,-0.06,0.58,0.49,0.44,0.36,0.30,0.22,0.69,0.15,0.31,0.45,0.07
severe+dyn-150,-0.10,-0.58,-0.80,-0.39,-0.62,-0.54,-0.01,-0.41,0.26,-0.02,0.60,0.49,0.44,0.38,0.29,0.25,0.69,0.17,0.34,0.46,0.09
severe+dyn-175,-0.06,-0.54,-0.78,-0.36,-0.58,-0.50,0.03,-0.37,0.28,0.01,0.62,0.49,0.43,0.38,0.28,0.26,0.70,0.19,0.37,0.47,0.11
severe+dyn-200,-0.03,-0.51,-0.77,-0.33,-0.55,-0.47,0.06,-0.35,0.30,0.03,0.63,0.49,0.42,0.39,0.28,0.27,0.70,0.19,0.38,0.48,0.12
