correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
aero(insp) (<-50),0.88,0.84,-0.56,0.63,0.21,0.30,0.50,0.70,0.88,0.88,0.35,0.81,0.78,0.93,-0.38,0.82,1.00,0.55,0.90,-0.27,-0.22
aero(exp) (<-50),0.79,0.80,-0.34,0.47,0.33,0.46,0.44,0.63,0.80,0.76,0.41,0.71,0.62,0.80,-0.43,0.75,1.00,0.48,0.82,-0.36,-0.22
severe(<-960),0.15,0.06,-0.43,0.17,-0.28,-0.25,-0.04,0.18,0.15,0.00,0.34,0.26,0.03,0.11,-0.16,-0.21,1.00,-0.39,0.02,-0.25,0.32
nonsevere(aero-severe),0.88,0.84,-0.55,0.63,0.22,0.31,0.50,0.70,0.88,0.89,0.34,0.80,0.78,0.93,-0.37,0.83,1.00,0.57,0.90,-0.26,-0.23
dyn-5,-0.14,-0.14,-0.00,-0.06,-0.20,-0.22,-0.32,-0.05,-0.13,-0.19,0.07,-0.11,-0.19,-0.18,-0.07,-0.17,1.00,-0.17,-0.15,-0.17,0.38
dyn-25,-0.09,-0.08,0.02,-0.04,-0.11,-0.08,-0.27,0.02,-0.08,-0.12,0.05,-0.11,-0.17,-0.13,-0.12,-0.15,1.00,-0.17,-0.10,-0.18,0.34
dyn-50,0.11,0.14,0.02,0.02,0.16,0.27,0.03,0.20,0.11,0.14,-0.01,-0.02,0.03,0.06,-0.15,0.05,1.00,-0.01,0.09,-0.20,-0.03
dyn-75,0.35,0.38,-0.01,0.11,0.30,0.44,0.28,0.34,0.35,0.41,0.05,0.21,0.30,0.32,-0.13,0.40,1.00,0.34,0.35,-0.10,-0.43
dyn-100,0.60,0.61,-0.21,0.30,0.30,0.45,0.43,0.49,0.61,0.66,0.14,0.50,0.59,0.63,-0.17,0.72,1.00,0.63,0.64,-0.09,-0.51
dyn-125,0.72,0.71,-0.35,0.43,0.25,0.41,0.48,0.58,0.73,0.77,0.23,0.66,0.70,0.78,-0.23,0.82,1.00,0.67,0.76,-0.10,-0.49
dyn-150,0.79,0.77,-0.43,0.51,0.25,0.39,0.51,0.63,0.80,0.82,0.27,0.72,0.74,0.85,-0.27,0.85,1.00,0.67,0.82,-0.12,-0.45
dyn-175,0.83,0.80,-0.47,0.54,0.24,0.38,0.52,0.65,0.83,0.86,0.29,0.75,0.76,0.89,-0.30,0.86,1.00,0.65,0.85,-0.14,-0.42
dyn-200,0.84,0.81,-0.50,0.56,0.24,0.36,0.52,0.66,0.85,0.87,0.30,0.77,0.78,0.91,-0.31,0.85,1.00,0.63,0.87,-0.15,-0.39
dyn-225,0.85,0.82,-0.52,0.57,0.23,0.35,0.52,0.66,0.86,0.88,0.30,0.78,0.79,0.92,-0.31,0.84,1.00,0.62,0.87,-0.17,-0.37
dyn-250,0.86,0.82,-0.53,0.58,0.23,0.34,0.52,0.66,0.86,0.88,0.31,0.79,0.79,0.92,-0.32,0.84,1.00,0.60,0.87,-0.18,-0.35
dyn-275,0.86,0.83,-0.53,0.59,0.24,0.34,0.52,0.67,0.86,0.89,0.31,0.79,0.79,0.93,-0.32,0.83,1.00,0.59,0.88,-0.18,-0.34
dyn-300,0.86,0.83,-0.54,0.59,0.24,0.34,0.53,0.67,0.87,0.89,0.31,0.79,0.79,0.93,-0.33,0.83,1.00,0.59,0.88,-0.19,-0.33
(severe+dyn-5),-0.02,-0.08,-0.25,0.05,-0.35,-0.34,-0.29,0.07,-0.02,-0.15,0.27,0.07,-0.13,-0.07,-0.16,-0.27,1.00,-0.38,-0.12,-0.29,0.52
(severe+dyn-25),-0.04,-0.06,-0.09,0.00,-0.18,-0.14,-0.28,0.07,-0.04,-0.11,0.14,-0.04,-0.15,-0.10,-0.16,-0.20,1.00,-0.27,-0.09,-0.25,0.43
(severe+dyn-50),0.13,0.15,-0.02,0.04,0.13,0.24,0.03,0.22,0.13,0.15,0.03,0.01,0.04,0.07,-0.17,0.03,1.00,-0.05,0.10,-0.26,0.04
(severe+dyn-75),0.36,0.39,-0.04,0.12,0.29,0.43,0.28,0.36,0.37,0.41,0.07,0.23,0.31,0.34,-0.14,0.39,1.00,0.32,0.36,-0.13,-0.42
(severe+dyn-100),0.61,0.62,-0.23,0.32,0.28,0.44,0.43,0.50,0.62,0.67,0.16,0.52,0.59,0.64,-0.18,0.72,1.00,0.61,0.64,-0.10,-0.50
(severe+dyn-125),0.73,0.71,-0.37,0.44,0.24,0.40,0.48,0.58,0.74,0.77,0.24,0.67,0.70,0.79,-0.23,0.81,1.00,0.66,0.77,-0.11,-0.48
(severe+dyn-150),0.80,0.77,-0.44,0.51,0.24,0.38,0.51,0.63,0.80,0.82,0.29,0.73,0.74,0.85,-0.28,0.84,1.00,0.66,0.82,-0.13,-0.44
(severe+dyn-175),0.83,0.80,-0.49,0.55,0.23,0.37,0.52,0.65,0.83,0.85,0.30,0.76,0.76,0.89,-0.30,0.85,1.00,0.64,0.85,-0.15,-0.41
(severe+dyn-200),0.85,0.81,-0.51,0.56,0.23,0.35,0.52,0.66,0.85,0.87,0.31,0.78,0.78,0.91,-0.31,0.84,1.00,0.62,0.86,-0.16,-0.38
(severe+dyn-225),0.85,0.82,-0.53,0.57,0.22,0.34,0.51,0.66,0.86,0.88,0.31,0.79,0.79,0.92,-0.31,0.84,1.00,0.60,0.87,-0.17,-0.36
(severe+dyn-250),0.86,0.82,-0.54,0.58,0.22,0.33,0.52,0.67,0.86,0.88,0.32,0.79,0.79,0.92,-0.32,0.83,1.00,0.59,0.87,-0.18,-0.34
(severe+dyn-275),0.86,0.83,-0.54,0.59,0.23,0.33,0.52,0.67,0.87,0.88,0.32,0.79,0.79,0.93,-0.33,0.82,1.00,0.58,0.87,-0.19,-0.33
insp-exp (aero),0.87,0.83,-0.55,0.60,0.23,0.33,0.52,0.68,0.87,0.89,0.32,0.79,0.79,0.93,-0.33,0.82,1.00,0.57,0.88,-0.20,-0.32
